name,Standardized_Name,Brand,Category,Sub_Category,Micro_Category,Size_Weight,mrp
Roohafza [Squash] 750 Ml Plbot Sharbat Refreshing,Roohafza [Squash] Plbot Sharbat Refreshing,Rooh Afza,Cold Drinks & Juices,Squashes & Syrups,Sharbat,750ml,170
Rai,Rai,Unknown,Masala & Dry Fruits,Whole Spices,Mustard Seeds,pc,100
Rai,Rai,Unknown,Masala & Dry Fruits,Whole Spices,Mustard Seeds,pc,200
Rajgira 250G,Rajgira,Unknown,Personal Care,Hair Care,Hair Oil,250g,40
Rajgira Atta 250G,Rajgira Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Rajgira Atta,250g,75
Rajgira Atta 500G,Rajgira Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Rajgira Atta,250g,150
Puna Bhakarwadi 300G,Puna Bhakarwadi,Unknown,Snacks & Munchies,Namkeen & Mixtures,Bhakarwadi,300g,110
R. Alashi 100G,R. Alashi,Unknown,Masala & Dry Fruits,Seeds & Nuts,Flaxseeds,pc,36
Rice Atta 1Kg,Rice Atta,Unknown,"Atta, Rice & Dal",Flours,Rice Flour,1kg,72
Rajgira Lahya,Rajgira Lahya,Unknown,Snacks & Munchies,Healthy Snacks,Rajgira Puffs,pc,40
Rajwadi Atta 10Kg,Rajwadi Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Wheat Atta,10kg,600
Rajwadi Atta 1Kg,Rajwadi Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Wheat Atta,10kg,68
Rajwadi Atta 7Kg,Rajwadi Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Wheat Atta,10kg,420
Rajwadi Mukhwas 100G,Rajwadi Mukhwas,Unknown,Paan Corner,Mukhwas & Mouth Fresheners,Mukhwas,100g,60
Rajwadi Mukhwas 250G,Rajwadi Mukhwas,Unknown,Paan Corner,Mukhwas & Mouth Fresheners,Mukhwas,100g,150
Rambandhu Chilli Pickle 350G,Rambandhu Chilli Pickle,Rambandhu,Masala & Dry Fruits,Pickles & Chutneys,Chilli Pickle,350g,85
Rambandhu Mango Pickle 1Kg,Rambandhu Mango Pickle,Rambandhu,Masala & Dry Fruits,Pickles & Chutneys,Mango Pickle,1kg,225
Rambandhu Mango Pickle 350G,Rambandhu Mango Pickle,Rambandhu,Masala & Dry Fruits,Pickles & Chutneys,Mango Pickle,1kg,90
Rambandhu Papad Atta 1Kg,Rambandhu Papad Atta,Rambandhu,Snacks & Munchies,Papads,Papad,1kg,220
Rawa,Rawa,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Sooji/Rawa,pc,18
Rawa,Rawa,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Sooji/Rawa,pc,35
Rawa,Rawa,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Sooji/Rawa,pc,70
Rawa Laddu 200Gm,Rawa Laddu,Unknown,Sweet Tooth,Indian Sweets,Ladoo,200g,160
Real Grape,Real Grape,Real,Cold Drinks & Juices,Juices,Fruit Juice,pc,110
Real Guava,Real Guava,Real,Cold Drinks & Juices,Juices,Fruit Juice,pc,110
Real Apple Juice 1Lt,Real Apple Juice 1Lt,Real,"Tea, Coffee & Health Drinks",Health Drinks & Mixes,Health Mix,pc,105
Real Cranberry Juice 1Lt,Real Cranberry Juice 1Lt,Real,Cold Drinks & Juices,Juices,Fruit Juice,pc,115
Red Chawali 250Gm,Red Chawali,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dal,250g,50
Fortun Sugar 1Kg,Fortun Sugar,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Sugar,1kg,65
Red Khajoor,Red Khajoor,Unknown,Masala & Dry Fruits,Dry Fruits,Dates,pc,70
Red Khajoor Seedless,Red Khajoor Seedless,Unknown,Masala & Dry Fruits,Dry Fruits,Dates,pc,100
Red Labal N. C.,Red Labal N. C.,Unknown,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,650
Red Labal N/C Tea,Red Labal N/C Tea,Unknown,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,155
Red Label,Red Label,Unknown,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,570
Red Label 500Gm,Red Label,Unknown,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,290
Red Label Nc 500G,Red Label Nc,Red Label,"Tea, Coffee & Health Drinks",Tea,Loose Leaf Tea,100G,335
Revive Liquid 200G,Revive Liquid,Revive,Cleaning Essentials,Laundry,Fabric Stiffener,200g,81
Revive Sanitizer 200Ml,Revive Sanitizer,Revive,Pharma & Wellness,Sanitizers,Hand Sanitizer,200ml,49
Rexona Soap 100G,Rexona Soap,Unknown,Personal Care,Bath & Body,Bar Soap,100g,37
Poha Shev 200G,Poha Shev,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,200g,70
Rajgira Laddu,Rajgira Laddu,Unknown,Sweet Tooth,Traditional Sweets,Laddu,pc,40
Red Rai 100G,Red Rai,Unknown,"Tea, Coffee & Health Drinks",Tea,Blended Tea,100g,56
Red Rai 250G,Red Rai,Unknown,"Tea, Coffee & Health Drinks",Tea,Blended Tea,100g,140
Rin Bar 6,Rin Bar 6,Rin,Cleaning Essentials,Laundry,Detergent Bar,pc,123
Rin Ala 200 Ml,Rin Ala,Rin,Cleaning Essentials,Laundry,Fabric Whitener,200ml,44
Riso Rice Bran Oil 1L,Riso Rice Bran Oil,Riso,Masala & Dry Fruits,Cooking Oils,Rice Bran Oil,1L,210
Rm Pav Bhaji 55G,Rm Pav Bhaji,RM,Masala & Dry Fruits,Blended Spices,Pav Bhaji Masala,55g,55
Roasted Alashi 100G,Roasted Alashi,Unknown,Masala & Dry Fruits,Seeds & Nuts,Flaxseeds,100g,35
Roasted Balshepa 100G,Roasted Balshepa,Unknown,Masala & Dry Fruits,Seeds & Nuts,Roasted Seeds,100g,40
Roasted Chane 200G,Roasted Chane,Unknown,Snacks & Munchies,Healthy Snacks,Roasted Chana,200g,55
Roasted Singgada 100Gm,Roasted Singgada,Unknown,Masala & Dry Fruits,Seeds & Nuts,Roasted Seeds,100g,75
Rooh Afza Sharbat 250Ml,Rooh Afza Sharbat,Rooh Afza,Cold Drinks & Juices,Squashes & Syrups,Sharbat,250ml,70
Rooperi 50Ml,Rooperi,Unknown,Cleaning Essentials,General Cleaning,Cleaning Product,50ml,110
Rose Cookies,Rose Cookies,Unknown,Snacks & Munchies,Biscuits & Cookies,Cookies,pc,120
Ruchiyana Gud Powder 500G,Ruchiyana Gud Powder,Ruchiyana,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Jaggery,500g,80
Sensodyne 150 Gm Cdbox Fresh Gel With Fluoride,Sensodyne Cdbox Fresh Gel With Fluoride,Sensodyne,Personal Care,Oral Care,Toothpaste,150g,220
Sensodyne 75 Gm Cdb Fresh Gel With Fluoride,Sensodyne Cdb Fresh Gel With Fluoride,Sensodyne,Personal Care,Oral Care,Toothpaste,75g,125
Skittles,Skittles,Unknown,Sweet Tooth,Candy & Toffees,Candy,pc,50
Society Masala1Kg,Society Masala,Society,Masala & Dry Fruits,Blended Spices,Masala,1kg,640
Su Ragi Satva Sugar Free 200G,Su Ragi Satva Sugar Free,Sugar Free,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Sugar Substitute,200g,70
Sunfeast Digestive,Sunfeast Digestive,Sunfeast,Snacks & Munchies,Namkeen & Mixtures,Namkeen,pc,20
Sabja,Sabja,Unknown,Masala & Dry Fruits,Whole Spices,Sabja Seeds,pc,300
Sabja,Sabja,Unknown,Masala & Dry Fruits,Whole Spices,Sabja Seeds,pc,600
Sabja 100G,Sabja,Unknown,Masala & Dry Fruits,Whole Spices,Sabja Seeds,pc,60
Sabja 250Gm,Kaju 250Gf,Unknown,Masala & Dry Fruits,Dry Fruits,Dry Fruits,pc,150
Sabja 50G,Sabja,Unknown,Masala & Dry Fruits,Whole Spices,Sabja Seeds,pc,30
Sabja 50Gm,Sabja,Unknown,Masala & Dry Fruits,Whole Spices,Sabja Seeds,pc,30
Sabudana 1Kg,Sabudana,Pro Nature,"Atta, Rice & Dal",Grains & Millets,Sabudana,pc,108
Sabudana 250 Gm,Sabudana,Pro Nature,"Atta, Rice & Dal",Grains & Millets,Sabudana,pc,27
Sabudana 500Gm,Sabudana,Pro Nature,"Atta, Rice & Dal",Grains & Millets,Sabudana,pc,54
Sada Khakara 200Gm,Sada Khakara,Unknown,Snacks & Munchies,Khakra & Snacks,Khakra,200g,60
Saffola Chyawan Amrut 500G,Saffola Chyawan Amrut,Saffola,Pharma & Wellness,Supplements,Chyawanprash,500g,190
Rice Flour 1Kg,Rice Flour,Unknown,"Atta, Rice & Dal",Flours,Rice Flour,1kg,72
Saffola Gold Special Price 5L,Saffola Gold Special Price,Saffola,"Atta, Rice & Dal",Rice,Rice,5L,1030
Saffola Masala Oats Lemony Twist 39Gm,Saffola Masala Oats Lemony Twist,Saffola,"Tea, Coffee & Health Drinks",Health Drinks & Mixes,Oats & Cereals,39g,207
Rice Flour 500Gm,Rice Flour,Unknown,"Atta, Rice & Dal",Flours,Rice Flour,1kg,36
Rice Flour 250Gm,Rice Flour,Unknown,"Atta, Rice & Dal",Flours,Rice Flour,1kg,18
Sabudana Puri 200G,Sabudana Puri,Unknown,Snacks & Munchies,Namkeen & Mixtures,Puri,200g,80
Saffola Masala Oats- Classic Masala -40G,Saffola Masala Oats- Classic Masala -,Saffola,"Tea, Coffee & Health Drinks",Health Drinks & Mixes,Oats & Cereals,40g,16
Saffola Mayonnaise 250G,Saffola Mayonnaise,Saffola,Instant & Frozen Food,Sauces & Ketchup,Mayonnaise,250g,90
Saffola Oodles 53G,Saffola Oodles,Saffola,Instant & Frozen Food,Noodles & Pasta,Instant Noodles,53g,22
Saffola Peanut Butter Creamy 350G,Saffola Peanut Butter Creamy,Saffola,Sweet Tooth,Spreads & Nut Butters,Peanut Butter,350g,175
Saffola Salt 1Kg,Saffola Salt,Saffola,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,1kg,35
Saffola Honey 300Gm,Saffola Honey,Saffola,Masala & Dry Fruits,Honey & Natural Sweeteners,Honey,100g,120
Seedless Khajoor 500Gm,Seedless Khajoor,Unknown,Masala & Dry Fruits,Dry Fruits,Dates,500g,350
Salted Pista 100Gm,Salted Pista,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,100g,200
Salted Kaju250Gm,Salted Kaju,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,250g,400
Samrat Maida500G,Samrat Maida,Samrat,"Atta, Rice & Dal",Atta & Flour,Maida,500g,40
Samrat Ragi 500 G,Samrat Ragi,Samrat,"Atta, Rice & Dal",Flours,Flour,500g,41
San Vito Durum Wheat Pasta Chiferi Rigatti N49 500 G,San Vito Durum Wheat Pasta Chiferi Rigatti N49,San Vito,Instant & Frozen Food,Noodles & Pasta,Pasta,500g,180
Sandki Kismis,Sandki Kismis,Unknown,Masala & Dry Fruits,Dry Fruits,Raisins,pc,400
Sanduki Kismis 250G,Sanduki Kismis,Unknown,Masala & Dry Fruits,Dry Fruits,Raisins,250g,160
Sankarpali Sweet 250Gm,Sankarpali Sweet,Unknown,Snacks & Munchies,Namkeen & Mixtures,Namkeen,250g,70
Savlon Hw Deep Clean,Savlon Hand Wash Deep Clean,Savlon,Personal Care,Hand Care,Hand Wash,pc,99
Sawai Misal Masala 25G,Sawai Misal Masala,Unknown,Masala & Dry Fruits,Blended Spices,Mixed Masala,25g,30
Schezwan Chutney 250G,Schezwan Chutney,Unknown,Instant & Frozen Food,Sauces & Ketchup,Schezwan Sauce,250g,80
Schezwan Punjabi Tadka 200Gm,Schezwan Punjabi Tadka,Unknown,Instant & Frozen Food,Sauces & Ketchup,Schezwan Sauce,200g,80
Scotch Brite Sponge,Scotch Brite Sponge,Scotch Brite,Cleaning Essentials,Scrubs & Sponges,Sponge,pc,15
Secret Temptation Perfum 50Ml,Secret Temptation Perfum,Secret Temptation,Personal Care,Fragrance,Perfume,50ml,399
Sensodyne Complete Protection+,Sensodyne Complete Protection+,Sensodyne,Personal Care,Oral Care,Toothpaste,pc,195
Sensodyne Repair & Protect 100G,Sensodyne Repair & Protect,Sensodyne,Personal Care,Oral Care,Toothpaste,100g,235
Sensodyne Sensitivity & Gum 70G,Sensodyne Sensitivity & Gum,Sensodyne,Personal Care,Oral Care,Toothpaste,70g,185
Serial Flour 1Kg,Serial Flour,Unknown,"Atta, Rice & Dal",Flours,Mixed Flour,1kg,80
Seven Seeds,Seven Seeds,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,pc,70
Seven Seeds,Seven Seeds,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,pc,175
Seviyan 200G,Seviyan,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,200g,30
Shahjira,Shahjira,Unknown,Masala & Dry Fruits,Whole Spices,Caraway Seeds,pc,16
Shahjira,Shahjira,Unknown,Masala & Dry Fruits,Whole Spices,Caraway Seeds,pc,32
Shahjira,Shahjira,Unknown,Masala & Dry Fruits,Whole Spices,Caraway Seeds,pc,80
Shahjira,Shahjira,Unknown,Masala & Dry Fruits,Whole Spices,Caraway Seeds,pc,160
Salted Badam 250G,Salted Badam,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,250g,350
Salted Kaju 100Gm,Salted Kaju,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,250g,150
Shankarpali 250G,Shankarpali,Unknown,Snacks & Munchies,Farsan & Chakli,Shankarpali,500g,70
Sharbati Atta 1Kg,Sharbati Atta,Unknown,"Atta, Rice & Dal",Wheat Flour & Atta,Wheat Atta,1kg,72
Shev Puri 200G,Shev Puri,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,200g,60
Shikekai 75G,Shikekai,Unknown,Personal Care,Bath & Body,Bar Soap,75g,34
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,40
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,80
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,120
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,300
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,400
Sihor,Sihor,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,1200
Sooji 1 Kg,Sooji,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Sooji/Rawa,1kg,76
Sing Laddu 250G,Sing Laddu,Unknown,Sweet Tooth,Indian Sweets,Ladoo,250g,75
Sing Chikki Tukada 500G,Sing Chikki Tukada,Unknown,Sweet Tooth,Chikki & Brittle,Chikki,500g,180
Karela Chips 200Gm,Karela Chips,Unknown,Snacks & Munchies,Chips & Crisps,Veggie Chips,200g,165
Smith & Johns Pasta Masala 10G,Smith & Johns Pasta Masala,Smith & Johns,Instant & Frozen Food,Noodles & Pasta,Pasta,10g,5
Soan Gajak,Soan Gajak,Unknown,Sweet Tooth,Indian Sweets,Soanpapdi,pc,160
Society Masala Tea 250G,Society Masala Tea,Society,"Tea, Coffee & Health Drinks",Tea,Blended Tea,250g,170
Society Tea,Society Tea,Society,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Blended Tea,250g,290
Society Tea 250Gm,Society Tea,Society,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Blended Tea,250g,145
Society Tea Masala,Society Tea Masala,Society,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,330
Sony Chivada 250G,Sony Chivada,Unknown,Snacks & Munchies,Namkeen & Mixtures,Chivda,250g,75
Sooji 500Gm,Sooji,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Sooji/Rawa,1kg,38
Sooper Kesar Basundi,Sooper Kesar Basundi,Sooper,Sweet Tooth,Instant Sweets,Instant Basundi Mix,pc,85
Sooper Vermicelli Kheer,Sooper Vermicelli Kheer,Sooper,Instant & Frozen Food,Noodles & Pasta,Vermicelli,pc,80
Soyabean 500G,Soyabean,Unknown,"Atta, Rice & Dal",Dals & Pulses,Soyabean,500g,80
Sp Chatpata 250Gm,Special Chatpata,Unknown,Snacks & Munchies,Namkeen & Mixtures,Namkeen,250g,80
Sp Methi Masala Kha 250 Gm,Special Methi Masala Kha,Unknown,Masala & Dry Fruits,Blended Spices,Masala,250g,80
Sp Methi Khakara 250Gm,Special Methi Khakara,Unknown,Snacks & Munchies,Khakra & Snacks,Khakra,250g,80
Sp Poha Chivda 250G,Sp Poha Chivda,Unknown,Snacks & Munchies,Chivda & Mixtures,Poha Chivda,500g,75
Sp.Idali Rawa 1Kg,Special.Idali Rawa,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Idli Rawa,1kg,60
Sp.Idali Rawa 500Gm,Special.Idali Rawa,Unknown,"Atta, Rice & Dal",Rawa & Sooji,Idli Rawa,1kg,40
Sp.Modak Pith 1Kg,Special.Modak Pith,Unknown,"Atta, Rice & Dal",Flours,Modak Flour,1kg,108
Society,Society,Society,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,620
Shev Moongdal 200G,Shev Moongdal,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,200g,90
Soyabean 250Gm,Soyabean,Unknown,"Atta, Rice & Dal",Dals & Pulses,Soyabean,500g,40
Sp.Modak Pith 250G,Special.Modak Pith,Unknown,"Atta, Rice & Dal",Flours,Modak Flour,1kg,27
Sp.Modak Pith500G,Special.Modak Pith,Unknown,"Atta, Rice & Dal",Flours,Modak Flour,1kg,54
Spe. Bhajani Chakali,Spe. Bhajani Chakali,Unknown,Snacks & Munchies,Namkeen & Mixtures,Chakli,pc,75
Spe. Moongchakali 250G,Spe. Moongchakali,Unknown,Snacks & Munchies,Namkeen & Mixtures,Chakli,250g,110
Spe. Poha Chivda 250Gm,Spe. Poha Chivda,Unknown,Snacks & Munchies,Namkeen & Mixtures,Chivda,250g,75
Spl Gujrati Methi Khakra,Spl Gujrati Methi Khakra,Unknown,Snacks & Munchies,Khakra & Snacks,Khakra,pc,90
Suffa Toast 200G,Suffa Toast,Unknown,Snacks & Munchies,Biscuits & Cookies,Toast Biscuit,200g,55
Sugar,Sugar,Unknown,Masala & Dry Fruits,Sugar & Jaggery,Refined Sugar,1kg,11
Sugar,Sugar,Unknown,Masala & Dry Fruits,Sugar & Jaggery,Refined Sugar,1kg,21
Sugar,Sugar,Unknown,Masala & Dry Fruits,Sugar & Jaggery,Refined Sugar,1kg,84
Sugar,Sugar,Unknown,Masala & Dry Fruits,Sugar & Jaggery,Refined Sugar,1kg,210
Sugar 3Kg,Sugar,Unknown,Masala & Dry Fruits,Sugar & Jaggery,Refined Sugar,1kg,126
Sugar Free Gold 100G,Sugar Free Gold,Sugar Free,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Sugar Substitute,100g,150
Sugarlite 50%Less Calories 500G,Sugarlite 50%Less Calories,Unknown,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Sugar Substitute,500g,79
Sunfeast Bournbon 120G,Sunfeast Bournbon,Sunfeast,Snacks & Munchies,Namkeen & Mixtures,Namkeen,120g,30
Sunfeast Nice Biscuits Pouch 150 Gms,Sunfeast Nice Biscuits Pouch,Sunfeast,Snacks & Munchies,Biscuits & Cookies,Nice Biscuits,150g,25
Sunflower Dalda 1Liter,Sunflower Dalda,Unknown,Masala & Dry Fruits,Cooking Oils,Sunflower Oil,1L,170
Sunflower Seeds,Sunflower Seeds,Unknown,Masala & Dry Fruits,Seeds & Nuts,Sunflower Seeds,pc,60
Sunny Finel 1L,Sunny Finel,Unknown,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,1L,220
Sunny Finel 500Ml,Sunny Finel,Unknown,Cleaning Essentials,Floor & Surface Cleaners,Floor Cleaner,1L,125
Sunrich Sunflower Oil 1L,Sunrich Sunflower Oil,Sunrich,Masala & Dry Fruits,Cooking Oils,Sunflower Oil,1L,134
Sunsilk Biotin 180Ml,Sunsilk Biotin,Sunsilk,Snacks & Munchies,Namkeen & Mixtures,Namkeen,180ml,98
Sunsilk Black Shine Shampoo 360Ml,Sunsilk Black Shine Shampoo,Sunsilk,Personal Care,Hair Care,Shampoo,180ml,269
Sunsilk Thick & Long 80Ml,Sunsilk Thick & Long,Sunsilk,Snacks & Munchies,Namkeen & Mixtures,Namkeen,80ml,59
Sunsilk Thick & Long Conditioner 180Ml,Sunsilk Thick & Long Conditioner,Sunsilk,Personal Care,Hair Care,Conditioner,180ml,154
Sunsilk Volume 180Ml,Sunsilk Volume,Sunsilk,Snacks & Munchies,Namkeen & Mixtures,Namkeen,180ml,152
Sunsilk Volume Shampoo 370Ml,Sunsilk Volume Shampoo,Sunsilk,Personal Care,Hair Care,Shampoo,370ml,270
Surabhi Classic Ketchup 900G,Surabhi Classic Ketchup,Surabhi,Snacks & Munchies,Dips & Spreads,Tomato Ketchup,900g,135
Surabhi Date Tamarind Chutney 100G,Surabhi Date Tamarind Chutney,Surabhi,Snacks & Munchies,Dips & Spreads,Tamarind Chutney,100g,25
Surabhi Nog Ketchup 900G,Surabhi Nog Ketchup,Surabhi,Instant & Frozen Food,Sauces & Ketchup,Tomato Ketchup,900g,125
Surabhi Schezwan Chutney 250G,Surabhi Schezwan Chutney,Surabhi,Snacks & Munchies,Dips & Spreads,Schezwan Chutney,250g,93
Surabhi Cooking Vinegar 670Ml,Surabhi Cooking Vinegar,Surabhi,Masala & Dry Fruits,Cooking Oils,Cooking Oil,670ml,57
Surati Kolam 1,Surati Kolam 1,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,62
Surati Kolam 2,Surati Kolam 2,Unknown,"Atta, Rice & Dal",Rice,Rice,pc,64
Surf Excel Bar 150G,Surf Excel Bar,Surf Excel,Cleaning Essentials,Laundry,Detergent Bar,150g,16
Surf Excel Bar 4U*200G,Surf Excel Bar 4U*,Surf Excel,Cleaning Essentials,Laundry,Detergent Bar,200g,114
Surf Excel Matic Liquid Tl 2L,Surf Excel Matic Liquid Tl,Surf Excel,Cleaning Essentials,Laundry,Liquid Detergent,2L,430
Surf Excel Qw 1Kg,Surf Excel Qw,Surf Excel,Cleaning Essentials,Laundry,Detergent Powder,1kg,240
Svitemblica Amla,Svitemblica Amla,Svitemblica,Pharma & Wellness,Supplements,Herbal Supplement,pc,160
Svitemblica Amla Turmeric,Svitemblica Amla Turmeric,Svitemblica,Masala & Dry Fruits,Ground Spices,Turmeric Powder,pc,200
Svitemblica Ginger Lemon,Svitemblica Ginger Lemon,Svitemblica,Pharma & Wellness,Supplements,Herbal Supplement,pc,170
Svity Gold Groundnut Oil 1L,Svity Gold Groundnut Oil,Svity Gold,Masala & Dry Fruits,Cooking Oils,Groundnut Oil,5L,230
Sweet Awala 100Gm,Sweet Awala,Unknown,Sweet Tooth,Candy & Toffees,Candy,100g,35
Sweet Awala 250Gm,Sweet Awala,Unknown,Sweet Tooth,Candy & Toffees,Candy,100g,80
Guinea Lite Refined Oil 1L,Guinea Lite Refined Oil,Guinea,Masala & Dry Fruits,Cooking Oils,Cooking Oil,1L,260
Talod Jeera Khakhra,Talod Jeera Khakhra,Unknown,Snacks & Munchies,Khakra & Snacks,Khakra,pc,72
Tang Lemon 500Gm,Tang Lemon,Tang,"Tea, Coffee & Health Drinks",Instant Drinks,Instant Drink Powder,500g,150
Tata Besan 500G,Tata Besan,Tata,"Atta, Rice & Dal",Flours,Besan,500g,64
Top Ramen [Insndl]70G Pph Curry Saucy Flat Noodles+1Vivo Kabdi Card Fr,Top Ramen [Insndl] Pph Curry Saucy Flat Noodles+1Vivo Kabdi Card Fr,Top Ramen,Instant & Frozen Food,Noodles & Pasta,Instant Noodles,70g,25
Taj Mahal Tea,Taj Mahal Tea,Taj Mahal,"Tea, Coffee & Health Drinks",Tea,Leaf Tea,250g,230
Taj Mahal Tea,Taj Mahal Tea,Taj Mahal,"Tea, Coffee & Health Drinks",Tea,Leaf Tea,250g,425
Talod Khaman 500G,Talod Khaman,Unknown,Instant & Frozen Food,Ready to Cook,Khaman Mix,500g,115
Talod Khaman,Talod Khaman,Unknown,Instant & Frozen Food,Ready to Cook,Khaman Mix,500g,60
Tata Premium,Tata Premium,Tata,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,270
Tata Tea Agani,Tata Tea Agani,Tata,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,240
Tata Tea Agni,Tata Tea Agni,Tata Tea,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Strong Blended Tea,pc,50
Tata Tea Agni,Tata Tea Agni,Tata Tea,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Strong Blended Tea,pc,120
Tata Tea Gold,Tata Tea Gold,Tata Tea,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Premium Blended Tea,250g,315
Tata Tea Gold Care 250G,Tata Tea Gold Care,Tata,"Tea, Coffee & Health Drinks",Tea,Blended Tea,250g,165
Tata Tea Premium,Tata Tea Premium,Tata Tea,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Blended Tea,pc,140
Tata Tea Preumum,Tata Tea Preumum,Tata,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,520
Tata Tea Teaveda,Tata Tea Teaveda,Tata,"Tea, Coffee & Health Drinks",Tea,Blended Tea,pc,126
Tata Tea Gold 250G,Tata Tea Gold,Tata Tea,"Tea, Coffee & Health Drinks",Loose & Packaged Tea,Premium Blended Tea,250g,145
Tej Mustard Oil 1L,Tej Mustard Oil,Tej,Masala & Dry Fruits,Cooking Oils,Mustard Oil,1L,225
Tejpan,Tejpan,Unknown,Masala & Dry Fruits,Whole Spices,Bay Leaf,pc,10
Tejpan,Tejpan,Unknown,Masala & Dry Fruits,Whole Spices,Bay Leaf,pc,20
Tejpan,Tejpan,Unknown,Masala & Dry Fruits,Whole Spices,Bay Leaf,pc,50
Tejpan,Tejpan,Unknown,Masala & Dry Fruits,Whole Spices,Bay Leaf,pc,100
Tide Jasmine & Rose 1Kg,Tide Jasmine & Rose,Tide,Cleaning Essentials,Laundry,Detergent Powder,1kg,124
Tide Powder 1Kg,Tide Powder,Tide,Cleaning Essentials,Laundry,Detergent Powder,1kg,140
Tata Salt 1 Kg,Tata Salt,Tata,"Atta, Rice & Dal","Salt, Sugar & Jaggery",Salt,1kg,28
Tide Soap 200G*5,Tide Soap*5,Tide,Personal Care,Bath & Body,Bar Soap,200g,78
Tikha Gathiya 250Gm,Tikha Gathiya,Unknown,Snacks & Munchies,Namkeen & Mixtures,Gathiya,250g,75
Tikhat Shev 250Gm,Tikhat Shev,Unknown,Snacks & Munchies,Namkeen & Mixtures,Sev & Shankarpali,250g,75
Til Gud Gajak 250Gm,Til Gud Gajak,Unknown,Sweet Tooth,Indian Sweets,Til Treats,250g,130
Til Gud Pista 250G,Til Gud Pista,Unknown,Sweet Tooth,Indian Sweets,Til Treats,250g,140
Til Laddu 250G,Soft Til Laddu 250,Unknown,Sweet Tooth,Indian Mithai,Laddoo,pc,90
Til Laddu 500Gm,Til Laddu,Unknown,Sweet Tooth,Indian Sweets,Ladoo,250g,220
Til Papadi 200G,Til Papadi,Unknown,Snacks & Munchies,Papads,Papad,200g,85
Til Laddu Sp 250Gm,Soft Til Laddu 250,Unknown,Sweet Tooth,Indian Mithai,Laddoo,pc,110
Tiptop Mukhwas 100G,Tiptop Mukhwas,Unknown,Paan Corner,Mukhwas & Mouth Fresheners,Mukhwas,100g,50
Tiptop Mukhwas 250G,Tiptop Mukhwas,Unknown,Paan Corner,Mukhwas & Mouth Fresheners,Mukhwas,100g,100
